Название,Канал,Тема/первое сообщение,Сообщение,Следующий шаг
Апарт-отель Архитектор 4* by Provence,Email / Telegram,Готовое демо цифрового гида для «Архитектора»,"Добрый день. Меня зовут Данил, я работаю в гостиничной сфере в Сочи и делаю цифровой гид гостя для отелей и апарт-отелей. У вас апарт-формат и много полезной информации для гостей: завтрак в KARMA, пляжи рядом, трансфер, сервис 24/7, прачечная. Я подготовил короткое демо, как это может выглядеть в формате QR-гида для гостя. Подскажите, кому лучше отправить ссылку?",Отправить ссылку на demos/architector/index.html и предложить пилот на 7-14 дней
Апарт-отель Монтевиль,Email / WhatsApp,Демо цифрового гида для гостей,"Добрый день. Я Данил Ротко, работаю в гостиничной сфере в Сочи. Делаю QR-гид для гостей: гость сканирует код, вводит номер и видит Wi-Fi, правила, уборку, контакты и отзывы в одном месте. Для апарт-отеля такой формат помогает снизить повторяющиеся вопросы и аккуратно собрать инструкции. Могу бесплатно подготовить демо под «Монтевиль». Кому можно отправить пример?",Если ответили — запросить сайт/подтвердить сайт и подготовить демо
Апартаменты Маринист,Email,QR-гид для гостей апартаментов,"Добрый день. Меня зовут Данил, я развиваю цифровой гид гостя для отелей и апартаментов. Для апартаментов это особенно полезно: правила проживания, Wi-Fi, техника, уборка и связь с менеджером открываются по одному QR-коду. Могу бесплатно собрать демо под «Маринист» и показать, как это будет выглядеть для гостя. Подскажите, кому лучше направить пример?",После ответа — отправить Apart Hotel Demo и предложить персональную версию
Апарт-отель Лучезарный Резорт,WhatsApp / Email,QR-гид для апарт-отеля,"Добрый день. Я Данил, работаю в гостиничной сфере и тестирую цифровой гид гостя для апарт-отелей. Гость сканирует QR-код в номере и сразу видит Wi-Fi, правила, уборку, контакты, услуги и отзывы. Для апарт-объекта это может заменить часть бумажных инструкций и повторяющихся объяснений. Могу бесплатно подготовить демо под ваш объект. Кому можно отправить ссылку?",Если есть интерес — собрать персональное демо по сайту
Center Plaza Sochi,Телефон / WhatsApp,Цифровой гид для правил и уборки,"Добрый день. Меня зовут Данил, я работаю в гостиничной сфере в Сочи. Увидел, что у вас на сайте подробно описаны правила проживания, уборка и удобства. Я делаю QR-гид, где гость видит эту информацию в удобном мобильном формате и может отправить заявку. Могу бесплатно собрать демо под Center Plaza. Кому лучше показать?",Если ответили — сделать демо с акцентом на уборку и правила
Alean Family Sputnik,Теплый контакт,Пилот QR-гида для гостей,"Привет. Я сейчас делаю цифровой гид гостя для отелей: QR в номере, ввод номера комнаты, Wi-Fi, питание, услуги, правила, контакты и отзывы в одном месте. Для семейного курорта с большим количеством услуг это может снизить повторяющиеся вопросы на стойке. Хочу собрать 2-3 пилота и могу бесплатно сделать демо под Sputnik. Кому лучше показать идею?",Попросить интро к управляющему/операционному отделу
CITY PARK HOTEL SOCHI,Email,Цифровой гид гостя для городского отеля,"Добрый день. Меня зовут Данил Ротко, я работаю в гостиничной сфере в Сочи и развиваю QR-гид для гостей отелей. Гость сканирует код в номере и получает Wi-Fi, завтрак, заезд/выезд, уборку, контакты и отзывы в одном месте. Могу бесплатно подготовить демо под CITY PARK HOTEL SOCHI, чтобы вы оценили формат без обязательств. Кому можно отправить пример?",Если ответили — отправить портфолио и коммерческое предложение
Отель «Сочи»,Email в sales,Демо цифрового гида для гостей,"Добрый день. Я Данил Ротко, работаю в гостиничной сфере в Сочи. Предлагаю бесплатно подготовить демо цифрового гида гостя для отеля «Сочи»: QR-код в номере, ввод номера комнаты, Wi-Fi, правила проживания, услуги, контакты и отзывы. Это помогает гостю быстро найти информацию, а команде — снизить количество повторяющихся вопросов. Кому можно отправить ссылку на пример?",Если ответили — подготовить персональную версию
Cosmos Sochi Hotel,Email,QR-гид для гостей отеля 4*,"Добрый день. Меня зовут Данил, я работаю в гостиничной сфере в Сочи и делаю цифровой гид гостя для отелей. Для городского отеля 4* это может быть удобный QR-сервис в номере: Wi-Fi, завтрак, услуги, мероприятия, контакты и отзывы в одном месте. Сейчас ищу 2-3 объекта для бесплатного пилота и могу собрать демо под Cosmos Sochi Hotel. Подскажите, кому лучше направить пример?",Если ответили — предложить демо под структуру сайта Cosmos
BERGS 4*,Форма / Email если найден,Демо цифрового гида для отеля 4*,"Добрый день. Меня зовут Данил, я развиваю цифровой гид гостя для отелей в Сочи. Гость сканирует QR-код, вводит номер комнаты и видит всю важную информацию по проживанию: Wi-Fi, завтрак, правила, услуги, контакты и отзывы. Для отеля 4* это может выглядеть как современный сервис без установки приложения. Могу бесплатно подготовить демо под BERGS. Кому лучше отправить пример?",Если нет email — отправить через форму обратной связи
